i.e.	26689499564806730000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
seizure-free.	0.000000
concealments.	0.000000
olive-grower.	0.000000
gate-keepers.	0.000000
ex-colleague.	0.000000
illumination.	0.000000
superprofits.	0.000000
retrafficked.	0.000000
ex-commuters.	0.000000
Eurochambers.	0.000000
Mr Nicholson.	0.000000
unrealisable.	0.000000
tight-lipped.	0.000000
Moralpolitik.	0.000000
infibulation.	0.000000
homologation.	0.000000
nonchalantly.	0.000000
ploughshares.	0.000000
emotionalism.	0.000000
chicken-feed.	0.000000
curmudgeonly.	0.000000
reemphasized.	0.000000
crystallises.	0.000000
self-healing.	0.000000
adulterators.	0.000000
certificated.	0.000000
marksmanship.	0.000000
helmsmanship.	0.000000
14-year-olds.	0.000000
moneylenders.	0.000000
Sudan/Darfur.	0.000000
home-working.	0.000000
Trans-Dnestr.	0.000000
Sledgehammer.	0.000000
five million.	0.000000
unionization.	0.000000
discerningly.	0.000000
non-solution.	0.000000
licence-free.	0.000000
quantitively.	0.000000
tragi-comedy.	0.000000
Lilliputians.	0.000000
under-threes.	0.000000
unit-holders.	0.000000
over-booking.	0.000000
manipulators.	0.000000
lower-priced.	0.000000
seamstresses.	0.000000
manoeuvrable.	0.000000
de-activated.	0.000000
Wachtmeister.	0.000000
2001/427/JHA.	0.000000
démocratique.	0.000000
incoherently.	0.000000
gobbledygook.	0.000000
re-allocated.	0.000000
cybereconomy.	0.000000
over-heating.	0.000000
retaliations.	0.000000
proletarians.	0.000000
hiding-place.	0.000000
ruthlessness.	0.000000
re-discussed.	0.000000
self-censure.	0.000000
unbreathable.	0.000000
Perseverance.	0.000000
realisations.	0.000000
non-believer.	0.000000
doom-mongers.	0.000000
re-consulted.	0.000000
non-legality.	0.000000
quaestorship.	0.000000
clairvoyants.	0.000000
out-sourcing.	0.000000
Bangladeshis.	0.000000
paragraph 5a.	0.000000
re-confirmed.	0.000000
Rafiq Hariri.	0.000000
wristwatches.	0.000000
free-traders.	0.000000
over-fifties.	0.000000
anti-freedom.	0.000000
totalitarism.	0.000000
childminders.	0.000000
malformation.	0.000000
peccadilloes.	0.000000
ready-cooked.	0.000000
file-sharing.	0.000000
non-relevant.	0.000000
centre-north.	0.000000
inter-related.	0.000000
congregations.	0.000000
endometriosis.	0.000000
vitrification.	0.000000
all-pervasive.	0.000000
Mr Yanukovich.	0.000000
kilowatt/hour.	0.000000
rock-and-roll.	0.000000
EUR 7 million.	0.000000
mathematician.	0.000000
colegislation.	0.000000
city-dwellers.	0.000000
selectiveness.	0.000000
instabilities.	0.000000
unforthcoming.	0.000000
back-to-front.	0.000000
inadmissibles.	0.000000
theoreticians.	0.000000
EUR 8 billion.	0.000000
troublemaking.	0.000000
drink-drivers.	0.000000
Dashnaksutyun.	0.000000
cherrypicking.	0.000000
republicanism.	0.000000
non-transport.	0.000000
45 000 people.	0.000000
Euroscepticsm.	0.000000
banana-dollar.	0.000000
non-reformers.	0.000000
self-cleaning.	0.000000
telemarketing.	0.000000
religion-free.	0.000000
over-produced.	0.000000
denouncements.	0.000000
exploitations.	0.000000
Joule-Thermie.	0.000000
trigger-happy.	0.000000
apathetically.	0.000000
gesticulation.	0.000000
apiculturists.	0.000000
recommendable.	0.000000
unforeseeably.	0.000000
Dutch-English.	0.000000
Khordorkovsky.	0.000000
circumference.	0.000000
bombastically.	0.000000
intoxications.	0.000000
flamethrowers.	0.000000
peace-builder.	0.000000
intercapacity.	0.000000
hypothecation.	0.000000
indiscernible.	0.000000
malfunctioned.	0.000000
disembowelled.	0.000000
enteroviruses.	0.000000
burdensharing.	0.000000
Stremkovskaya.	0.000000
Arabic/Muslim.	0.000000
righteousness.	0.000000
unappreciated.	0.000000
unemotionally.	0.000000
25 000 tonnes.	0.000000
case-specific.	0.000000
pigheadedness.	0.000000
Fuerteventura.	0.000000
co-organising.	0.000000
self-policing.	0.000000
graphologists.	0.000000
overproducing.	0.000000
anti-consumer.	0.000000
prejudgements.	0.000000
rock-'n'-roll.	0.000000
money-related.	0.000000
ecotechnology.	0.000000
ungrammatical.	0.000000
Mrs Nicholson.	0.000000
hallucinating.	0.000000
uncontainable.	0.000000
JOULE-THERMIE.	0.000000
six-year-olds.	0.000000
André-Leonard.	0.000000
crop-spraying.	0.000000
non-democracy.	0.000000
electrocution.	0.000000
Rhone-Poulenc.	0.000000
multibranding.	0.000000
George Orwell.	0.000000
thunderstorms.	0.000000
Lisbon Agenda.	0.000000
sub-republics.	0.000000
slave-traders.	0.000000
reciprocating.	0.000000
desaparecidos.	0.000000
proactiveness.	0.000000
37 signatures.	0.000000
anti-cohesion.	0.000000
whisky-makers.	0.000000
flex-security.	0.000000
country-owned.	0.000000
pharmacopoeia.	0.000000
overemphasised.	0.000000
co-incinerated.	0.000000
recoverability.	0.000000
selfsufficient.	0.000000
uninvestigated.	0.000000
underexploited.	0.000000
Mazar-I-Sharif.	0.000000
conservatively.	0.000000
statute-barred.	0.000000
re-engineering.	0.000000
non-patentable.	0.000000
superintendent.	0.000000
patent-holders.	0.000000
autosuggestion.	0.000000
selfmedication.	0.000000
reconditioning.	0.000000
counter-terror.	0.000000
fortune-teller.	0.000000
self-motivated.	0.000000
associationism.	0.000000
USD 11 billion.	0.000000
Mr Sousa Pinto.	0.000000
encyclopaedias.	0.000000
Mr Landsbergis.	0.000000
technology-led.	0.000000
psychoanalysis.	0.000000
Mrs Andrikiene.	0.000000
ECOS/OUVERTURE.	0.000000
network-driven.	0.000000
paramilitarism.	0.000000
Sakchittaphong.	0.000000
mass-medicated.	0.000000
selfconfidence.	0.000000
EUR 91 million.	0.000000
untouchability.	0.000000
Sharm-el-Sheik.	0.000000
re-unification.	0.000000
peace-oriented.	0.000000
wine-producers.	0.000000
sight-impaired.	0.000000
Afro-Americans.	0.000000
Castletownbere.	0.000000
double-glazing.	0.000000
people-focused.	0.000000
singlehandedly.	0.000000
over-emotional.	0.000000
principalities.	0.000000
de-centralised.	0.000000
selfgovernment.	0.000000
fluoridisation.	0.000000
reproductivity.	0.000000
fatalistically.	0.000000
constructivism.	0.000000
categorization.	0.000000
Indonesia/Aceh.	0.000000
Foltyn-Kubicka.	0.000000
autocratically.	0.000000
state-provided.	0.000000
nonsignificant.	0.000000
EUR 22 million.	0.000000
second-guessed.	0.000000
dilly-dallying.	0.000000
co-legislature.	0.000000
over-estimated.	0.000000
asynchronicity.	0.000000
letter-writers.	0.000000
84/466/Euratom.	0.000000
incapacitation.	0.000000
eco-regulation.	0.000000
undergrounding.	0.000000
bio-monitoring.	0.000000
superstatehood.	0.000000
financeability.	0.000000
accreditations.	0.000000
non-derogation.	0.000000
flabbergasting.	0.000000
deforestations.	0.000000
perpendiculars.	0.000000
featherbedding.	0.000000
extrapolations.	0.000000
Congo-Kinshasa.	0.000000
eco-technology.	0.000000
Ter-Petrossian.	0.000000
openmindedness.	0.000000
scientologists.	0.000000
oyster-farmers.	0.000000
justifiability.	0.000000
lightheartedly.	0.000000
Elleman-Jensen.	0.000000
non-enlargement.	0.000000
under-exploited.	0.000000
indemnification.	0.000000
re-prioritising.	0.000000
Vice-Presidency.	0.000000
unprofitability.	0.000000
co-religionists.	0.000000
parliamentarism.	0.000000
impact-assessed.	0.000000
counter-reforms.	0.000000
light-heartedly.	0.000000
self-mutilation.	0.000000
self-absorption.	0.000000
like-mindedness.	0.000000
non-problematic.	0.000000
EUR 1.5 million.	0.000000
anti-microbials.	0.000000
radioprotection.	0.000000
insignificantly.	0.000000
salmonella-free.	0.000000
euronationalism.	0.000000
user-unfriendly.	0.000000
EUR 242 million.	0.000000
infra-structure.	0.000000
non-democracies.	0.000000
categorisations.	0.000000
consumer-driven.	0.000000
education-based.	0.000000
self-persuasion.	0.000000
non-extradition.	0.000000
telegraphically.	0.000000
quasi-unanimity.	0.000000
self-justifying.	0.000000
research-driven.	0.000000
slaughter-house.	0.000000
Mosonmagyaróvár.	0.000000
fire-retardants.	0.000000
narco-terrorism.	0.000000
pre-integration.	0.000000
sado-monetarism.	0.000000
PHARE-Democracy.	0.000000
EUR 275 million.	0.000000
EUR 180 billion.	0.000000
Landsmannschaft.	0.000000
licence-holders.	0.000000
mass-medication.	0.000000
self-initiative.	0.000000
self-repression.	0.000000
concessionaires.	0.000000
heterosexuality.	0.000000
under-provision.	0.000000
coccidiostatica.	0.000000
gloom-mongering.	0.000000
non-conflicting.	0.000000
monocultivation.	0.000000
Macedonia/FYROM.	0.000000
proprietorships.	0.000000
kilometre/tonne.	0.000000
EUR 111 billion.	0.000000
Welthungerhilfe.	0.000000
disaster-driven.	0.000000
EUR 125 million.	0.000000
Latin-Americans.	0.000000
acknowledgments.	0.000000
two-dimensional.	0.000000
non-operational.	0.000000
non-duplication.	0.000000
euro-globalists.	0.000000
stepping-stones.	0.000000
EUR 7.3 billion.	0.000000
decision-takers.	0.000000
EUR 974 billion.	0.000000
people-smugglers.	0.000000
milligrams/litre.	0.000000
self-destructing.	0.000000
pseudo-solutions.	0.000000
heavy-handedness.	0.000000
anti-retrovirals.	0.000000
Structural Funds.	0.000000
biotechnologists.	0.000000
superficialities.	0.000000
deindustrialised.	0.000000
Euro-nationalist.	0.000000
Graeco-Christian.	0.000000
cross-referenced.	0.000000
bargain-basement.	0.000000
dysfunctionality.	0.000000
neo-colonialists.	0.000000
re-commissioning.	0.000000
EUR four million.	0.000000
Baroness Ludford.	0.000000
counterattacking.	0.000000
service-provider.	0.000000
non-prescriptive.	0.000000
fellow-creatures.	0.000000
Vice-Chancellors.	0.000000
ambassador/envoy.	0.000000
control-freakism.	0.000000
counterarguments.	0.000000
pre-consultation.	0.000000
25 Member States.	0.000000
EUR 10.5 million.	0.000000
self-referential.	0.000000
over-exaggerated.	0.000000
Suanzes­Carpegna.	0.000000
nano-ingredients.	0.000000
poly-consumption.	0.000000
interrelatedness.	0.000000
solution-focused.	0.000000
serviceproviders.	0.000000
ultra-federalism.	0.000000
passport-holders.	0.000000
over-involvement.	0.000000
counterproposals.	0.000000
Nagorny-Karabakh.	0.000000
stumbling-blocks.	0.000000
cost-prohibitive.	0.000000
Cegielski-Poznán.	0.000000
video-conference.	0.000000
constitutionalism.	0.000000
counter-reactions.	0.000000
denationalisation.	0.000000
credit-worthiness.	0.000000
fishery-dependent.	0.000000
Euro-profiteering.	0.000000
Produktionshilfen.	0.000000
re-prioritisation.	0.000000
nationalistically.	0.000000
EUR 6 000 million.	0.000000
irreconcilability.	0.000000
microparticulates.	0.000000
subsidy-dependent.	0.000000
disease-resistant.	0.000000
over-prescription.	0.000000
supra-nationality.	0.000000
free-marketeering.	0.000000
non-profitability.	0.000000
non-protectionist.	0.000000
inconsiderateness.	0.000000
non-problematical.	0.000000
recolonialisation.	0.000000
nineteen-nineties.	0.000000
telephone-tapping.	0.000000
eco-compatibility.	0.000000
non-harmonisation.	0.000000
co-decision-maker.	0.000000
over-complication.	0.000000
agriculture-based.	0.000000
Bosnia-Hercegovina.	0.000000
counter-revolution.	0.000000
Baroness Nicholson.	0.000000
self-understanding.	0.000000
semi-professionals.	0.000000
Proinsias De Rossa.	0.000000
irresponsibilities.	0.000000
recycling-friendly.	0.000000
ultraperipherality.	0.000000
community-oriented.	0.000000
anti-competitively.	0.000000
Heddon-on-the-Wall.	0.000000
computer-generated.	0.000000
consensus-oriented.	0.000000
unconstitutionally.	0.000000
self-advertisement.	0.000000
Rules of Procedure.	0.000000
cross-contamination.	0.000000
computer-illiterate.	0.000000
counter-declaration.	0.000000
Josephine-Charlotte.	0.000000
self-aggrandisement.	0.000000
self-accountability.	0.000000
enterprise-friendly.	0.000000
under-capitalisation.	0.000000
consumers/passengers.	0.000000
technical-scientific.	0.000000
two-thirds/one-third.	0.000000
Commissioner Busquin.	0.000000
Financial Regulation.	0.000000
software-to-software.	0.000000
Szczecin-Świnoujście.	0.000000
incentive-compatible.	0.000000
Transport and Tourism.	0.000000
sovereignty-sensitive.	0.000000
customer-friendliness.	0.000000
Euro-internationalism.	0.000000
euro-internationalism.	0.000000
Financial Perspective.	0.000000
consumer-friendliness.	0.000000
Mrs Sanders-ten Holte.	0.000000
deinstitutionalisation.	0.000000
responsibility-sharing.	0.000000
development-orientated.	0.000000
Mecklenburg-Vorpommern.	0.000000
Minister/Vice-President.	0.000000
fellow-parliamentarians.	0.000000
environment-friendliness.	0.000000
ethylhydroxyethylcellulose.	0.000000
Committee on External Affairs.	0.000000
Committee on Budgetary Control.	0.000000
air-conditioning.	-0.000000
de-institutionalisation.	-0.000000
under-utilisation.	-0.000000
satisfying.	-0.000000
environmentally-friendly.	-0.000000
Commissioner Grybauskaitė.	-0.000000
environmentalist.	-0.000000
Stability and Growth Pact.	-0.000000
Mrs Kratsa-Tsagaropoulou.	-0.000000
awareness-raising.	-0.000000
President-designate.	-0.000000
administratively.	-0.000000
Commissioner Bolkestein.	-0.000000
government-to-government.	-0.000000
Kratsa-Tsagaropoulou.	-0.000000
intergovernmentalisation.	-0.000000
College of Commissioners.	-0.000000
master-feeder-structures.	-0.000000
biodegradability.	-0.000000
environment-friendly.	-0.000000
inadvertently.	-0.000000
alcohol-related.	-0.000000
third-generation.	-0.000000
under-implementation.	-0.000000
President-in-office.	-0.000000
self-contained.	-0.000000
non-recognition.	-0.000000
Panayotopoulos-Cassiotou.	-0.000000
Commissioner-designate.	-0.000000
institutionalisation.	-0.000000
secretaries-general.	-0.000000
Commissioner Potočnik.	-0.000000
euphemistically.	-0.000000
internationalisation.	-0.000000
Professor Diamandouros.	-0.000000
multidimensional.	-0.000000
Commissioner Piebalgs.	-0.000000
nondiscrimination.	-0.000000
balance-sheet.	-0.000000
environmentally-minded.	-0.000000
Presidencies-in-Office.	-0.000000
circulating.	-0.000000
Presidency-in-Office.	-0.000000
President-inOffice.	-0.000000
Mr President-in-Office.	-0.000000
Morkūnaitė-Mikulėnienė.	-0.000000
Chancellor Schüssel.	-0.000000
Martínez-Orozco.	-0.000000
PricewaterhouseCoopers.	-0.000000
security-related.	-0.000000
Commissioner Wallström.	-0.000000
under-representation.	-0.000000
Commissioners-designate.	-0.000000
Commissioner Vitorino.	-0.000000
Presidentin-Office.	-0.000000
compartmentalisation.	-0.000000
connectivity.	-0.000000
Deregulation.	-0.000000
door-to-door.	-0.000000
conscription.	-0.000000
sledgehammer.	-0.000000
synchronisation.	-0.000000
Prime Minister Sharon.	-0.000000
European Constitution.	-0.000000
Commissioner Liikanen.	-0.000000
intergovernmentalists.	-0.000000
inadequately.	-0.000000
multi-faceted.	-0.000000
anti-corruption.	-0.000000
Commissioner Frattini.	-0.000000
anti-globalisation.	-0.000000
Matikainen-Kallström.	-0.000000
further-reaching.	-0.000000
counterbalance.	-0.000000
conflict-prevention.	-0.000000
Palestinian Authority.	-0.000000
honourable Members.	-0.000000
Kestelijn-Sierens.	-0.000000
individualised.	-0.000000
saddened.	-0.000000
vanguard.	-0.000000
comprehensibility.	-0.000000
interrelationship.	-0.000000
Activities.	-0.000000
non-commercialisation.	-0.000000
Anti-discrimination.	-0.000000
pre-registration.	-0.000000
time-limited.	-0.000000
corporation.	-0.000000
anti-discrimination.	-0.000000
country-specific.	-0.000000
confidence-inspiring.	-0.000000
anti-prohibitionists.	-0.000000
particulars.	-0.000000
Prohibition.	-0.000000
antidumping.	-0.000000
Commissioner Barnier.	-0.000000
directorate-generals.	-0.000000
millennium-compliant.	-0.000000
Reconciliation.	-0.000000
non-chemical.	-0.000000
well-managed.	-0.000000
dispensation.	-0.000000
Euro-sceptic.	-0.000000
constraining.	-0.000000
multifunctionality.	-0.000000
first-generation.	-0.000000
democracy-building.	-0.000000
business-friendly.	-0.000000
Keppelhoff-Wiechert.	-0.000000
computer-implemented.	-0.000000
performance-related.	-0.000000
fellow-Commissioners.	-0.000000
non-traditional.	-0.000000
tobacco-growing.	-0.000000
appearing.	-0.000000
unintentionally.	-0.000000
inter-governmental.	-0.000000
biodegradable.	-0.000000
diamond.	-0.000000
donated.	-0.000000
Rhineland-Palatinate.	-0.000000
phytopharmaceuticals.	-0.000000
discriminating.	-0.000000
Mrs Roth-Behrendt.	-0.000000
non-essential.	-0.000000
Sub-Committee.	-0.000000
destabilizing.	-0.000000
disproportion.	-0.000000
non-Europeans.	-0.000000
standard-setting.	-0.000000
Bachelot-Narquin.	-0.000000
compatibility.	-0.000000
parliamentarisation.	-0.000000
one-dimensional.	-0.000000
privately-owned.	-0.000000
rehabilitating.	-0.000000
development-friendly.	-0.000000
Russian-speaking.	-0.000000
Directorate-Generals.	-0.000000
Secretaries-General.	-0.000000
Commissioner Michel.	-0.000000
user-friendliness.	-0.000000
eco-conditionality.	-0.000000
notwithstanding.	-0.000000
reclassification.	-0.000000
trade-distorting.	-0.000000
confidence-building.	-0.000000
communitarisation.	-0.000000
attractiveness.	-0.000000
radiocommunications.	-0.000000
intergovernmentally.	-0.000000
president-in-office.	-0.000000
information-sharing.	-0.000000
non-contributory.	-0.000000
paternalistic.	-0.000000
Habsburg-Lothringen.	-0.000000
EUR 40 million.	-0.000000
revitalization.	-0.000000
Allgemeine.	-0.000000
dissimilar.	-0.000000
unrivalled.	-0.000000
reproaches.	-0.000000
Automotive.	-0.000000
Cohn-Bendit's.	-0.000000
reindustrialisation.	-0.000000
Government of Spain.	-0.000000
DirectoratesGeneral.	-0.000000
chloroflourocarbons.	-0.000000
secretariat-general.	-0.000000
over-bureaucratised.	-0.000000
self-responsibility.	-0.000000
Commissioner Hübner.	-0.000000
people-trafficking.	-0.000000
ceaselessly.	-0.000000
supply-side.	-0.000000
de-industrialisation.	-0.000000
extra-territoriality.	-0.000000
socio-economically.	-0.000000
fullest.	-0.000000
Souchet.	-0.000000
self-fulfilling.	-0.000000
Turkish-Cypriot.	-0.000000
multi-functionality.	-0.000000
counterterrorism.	-0.000000
internationalist.	-0.000000
Secretariat-General.	-0.000000
Mr Dimitrakopoulos.	-0.000000
non-obligatory.	-0.000000
reassessment.	-0.000000
directorate-general.	-0.000000
Languedoc-Roussillon.	-0.000000
employment-friendly.	-0.000000
micro-cogeneration.	-0.000000
video-conferencing.	-0.000000
interrelationships.	-0.000000
super-Commissioner.	-0.000000
secretary-general.	-0.000000
well-informed.	-0.000000
Mrs Ferrero-Waldner.	-0.000000
transmissibility.	-0.000000
self-congratulatory.	-0.000000
cross-fertilisation.	-0.000000
framework-programme.	-0.000000
Intelligence.	-0.000000
degenerating.	-0.000000
dispossessed.	-0.000000
re-nationalisation.	-0.000000
internationalization.	-0.000000
shedding.	-0.000000
poverty-stricken.	-0.000000
definition.	-0.000000
ground-breaking.	-0.000000
videoconferencing.	-0.000000
search-and-rescue.	-0.000000
complementarities.	-0.000000
Israeli Government.	-0.000000
commander-in-chief.	-0.000000
non-industrialised.	-0.000000
Thorning-Schmidt.	-0.000000
hostage-taking.	-0.000000
programmed.	-0.000000
self-confident.	-0.000000
subscribes.	-0.000000
Ephremidis.	-0.000000
Directorate-General.	-0.000000
Commission-designate.	-0.000000
non-profit-making.	-0.000000
multi-dimensional.	-0.000000
over-simplification.	-0.000000
government-in-exile.	-0.000000
European Commission.	-0.000000
well-developed.	-0.000000
cross-subsidisation.	-0.000000
super-Commissioners.	-0.000000
telecommunication.	-0.000000
framework-decision.	-0.000000
unbureaucratically.	-0.000000
market-orientated.	-0.000000
non-technological.	-0.000000
Congo-Brazzaville.	-0.000000
non-institutional.	-0.000000
disqualifications.	-0.000000
performance-based.	-0.000000
homosexual.	-0.000000
law-enforcement.	-0.000000
institutionalized.	-0.000000
Christian-Democrats.	-0.000000
unsuccessfully.	-0.000000
research-intensive.	-0.000000
Commissioner Dimas.	-0.000000
disproportionality.	-0.000000
Lieutenant-General.	-0.000000
Prosecutor-General.	-0.000000
entrepreneurialism.	-0.000000
non-implementation.	-0.000000
European Parliament.	-0.000000
single-mindedly.	-0.000000
radionavigation.	-0.000000
disenfranchised.	-0.000000
commercialisation.	-0.000000
daughter.	-0.000000
Championships.	-0.000000
insensitivity.	-0.000000
Fontainebleau.	-0.000000
subscriptions.	-0.000000
Euro-sceptics.	-0.000000
tightening-up.	-0.000000
portrayal.	-0.000000
hardening.	-0.000000
Exclusive.	-0.000000
Boumediene-Thiery.	-0.000000
anti-nuclear.	-0.000000
Instructions.	-0.000000
Undertakings.	-0.000000
brainwashing.	-0.000000
ill-prepared.	-0.000000
rescheduling.	-0.000000
degeneration.	-0.000000
well-drafted.	-0.000000
audits/inspections.	-0.000000
be-all-and-end-all.	-0.000000
Super-Commissioner.	-0.000000
techno-nationalism.	-0.000000
shilly-shallying.	-0.000000
Mrs Diamantopoulou.	-0.000000
Non-Discrimination.	-0.000000
smooth-functioning.	-0.000000
interchangeability.	-0.000000
trans-national.	-0.000000
far-reaching.	-0.000000
self-proclaimed.	-0.000000
betterment.	-0.000000
unorthodox.	-0.000000
reflective.	-0.000000
Generation.	-0.000000
Mr Swoboda.	-0.000000
rendezvous.	-0.000000
progressively.	-0.000000
abominable.	-0.000000
incompatibility.	-0.000000
stranded.	-0.000000
wasteful.	-0.000000
president-designate.	-0.000000
industrialization.	-0.000000
business-as-usual.	-0.000000
over-bureaucratic.	-0.000000
Sanchez-Schmid.	-0.000000
deindustrialisation.	-0.000000
post-Communist.	-0.000000
sophistication.	-0.000000
counterbalancing.	-0.000000
well-considered.	-0.000000
transferability.	-0.000000
refrigeration.	-0.000000
whistle-blowing.	-0.000000
regularisations.	-0.000000
individualisation.	-0.000000
oversimplification.	-0.000000
non-legislative.	-0.000000
co-responsibility.	-0.000000
drugs-related.	-0.000000
after-effects.	-0.000000
decisionmaking.	-0.000000
Interoperability.	-0.000000
Papastamkos.	-0.000000
attainment.	-0.000000
disproportionately.	-0.000000
Lambrinidis.	-0.000000
speculating.	-0.000000
vice-president.	-0.000000
demilitarisation.	-0.000000
Gutiérrez-Cortines.	-0.000000
fashionable.	-0.000000
communitization.	-0.000000
Woods.	-0.000000
truck.	-0.000000
consumer-friendly.	-0.000000
abandonment.	-0.000000
Mr Chatzimarkakis.	-0.000000
Mrs Oomen-Ruijten.	-0.000000
comprehensiveness.	-0.000000
Mrs Fraga Estévez.	-0.000000
Mrs Randzio-Plath.	-0.000000
re-evaluation.	-0.000000
incompatibilities.	-0.000000
Mr Diamandouros.	-0.000000
animal-friendly.	-0.000000
citizen-centred.	-0.000000
institution-building.	-0.000000
contraventions.	-0.000000
Telecommunications.	-0.000000
Creutzfeldt-Jakob.	-0.000000
Dombrovskis.	-0.000000
demolishing.	-0.000000
distributes.	-0.000000
thoughtless.	-0.000000
coefficient.	-0.000000
reappraisal.	-0.000000
one-and-a-half.	-0.000000
solidly.	-0.000000
Echerer.	-0.000000
self-certification.	-0.000000
Directors-General.	-0.000000
counter-argument.	-0.000000
self-flagellation.	-0.000000
interdependencies.	-0.000000
dematerialisation.	-0.000000
under-utilization.	-0.000000
pregnancy-related.	-0.000000
decommission.	-0.000000
well-equipped.	-0.000000
individualism.	-0.000000
demilitarised.	-0.000000
operationally.	-0.000000
Papakyriazis.	-0.000000
Declarations.	-0.000000
Exploitation.	-0.000000
non-national.	-0.000000
replacements.	-0.000000
chairpersons.	-0.000000
Hennicot-Schoepges.	-0.000000
eagerness.	-0.000000
interrupting.	-0.000000
twenty-five.	-0.000000
backbone.	-0.000000
Kreissl-Dörfler.	-0.000000
disengagement.	-0.000000
extraterritoriality.	-0.000000
interrupt.	-0.000000
non-participation.	-0.000000
French-speaking.	-0.000000
future-orientated.	-0.000000
mini-part-session.	-0.000000
honourable Member.	-0.000000
Kosciusko-Morizet.	-0.000000
non-competitive.	-0.000000
well-intentioned.	-0.000000
manifest.	-0.000000
geographically.	-0.000000
Soltwedel-Schäfer.	-0.000000
institutionalise.	-0.000000
hierarchical.	-0.000000
knowledge-sharing.	-0.000000
anti-humanitarian.	-0.000000
accession-related.	-0.000000
child-trafficking.	-0.000000
intellectually.	-0.000000
re-examination.	-0.000000
cherry-picking.	-0.000000
revolutionised.	-0.000000
Representation.	-0.000000
roadworthiness.	-0.000000
contaminate.	-0.000000
energy-efficient.	-0.000000
Directorates-General.	-0.000000
directorates-general.	-0.000000
confronted.	-0.000000
simplifications.	-0.000000
divides.	-0.000000
collectivisation.	-0.000000
thermometers.	-0.000000
successively.	-0.000000
complimented.	-0.000000
recuperation.	-0.000000
epidemiology.	-0.000000
philosophers.	-0.000000
rumoured.	-0.000000
re-think.	-0.000000
lecturer.	-0.000000
domicile.	-0.000000
clutches.	-0.000000
rounding.	-0.000000
echelons.	-0.000000
sardines.	-0.000000
Roubatis.	-0.000000
backdoor.	-0.000000
superior.	-0.000000
non-renewal.	-0.000000
Renaissance.	-0.000000
Programming.	-0.000000
Castiglione.	-0.000000
backsliding.	-0.000000
commercialization.	-0.000000
over-exploitation.	-0.000000
self-organisation.	-0.000000
Congo/Brazzaville.	-0.000000
income-generation.	-0.000000
cross-connections.	-0.000000
under-implemented.	-0.000000
super-bureaucracy.	-0.000000
advocates-general.	-0.000000
institutionalists.	-0.000000
budgetary-neutral.	-0.000000
distance-learning.	-0.000000
ice-strengthening.	-0.000000
alliance-building.	-0.000000
hydro-electricity.	-0.000000
intergovernmentalism.	-0.000000
Herrero-Tejedor.	-0.000000
Representations.	-0.000000
controversially.	-0.000000
Democratisation.	-0.000000
organised.	-0.000000
EUR 1.055 billion.	-0.000000
inter-connections.	-0.000000
disproportionally.	-0.000000
collateralisation.	-0.000000
multi-millionaire.	-0.000000
cloud-cuckoo-land.	-0.000000
Palestinian State.	-0.000000
non-retroactivity.	-0.000000
non-communication.	-0.000000
government-backed.	-0.000000
sanctimoniousness.	-0.000000
well-documented.	-0.000000
particularities.	-0.000000
satellite-based.	-0.000000
well-prepared.	-0.000000
Pre-Accession.	-0.000000
enlightened.	-0.000000
normalisation.	-0.000000
institutionalised.	-0.000000
self-congratulation.	-0.000000
interception.	-0.000000
planetary.	-0.000000
cruellest.	-0.000000
fugitives.	-0.000000
Locatelli.	-0.000000
speaker's.	-0.000000
deferment.	-0.000000
nourished.	-0.000000
digitised.	-0.000000
propriety.	-0.000000
Alexandre.	-0.000000
Hennis-Plasschaert.	-0.000000
professor.	-0.000000
internationalised.	-0.000000
clear-sightedness.	-0.000000
consensus-building.	-0.000000
centre-right.	-0.000000
self-righteousness.	-0.000000
Advocate-General.	-0.000000
Initiatives.	-0.000000
confront.	-0.000000
Mrs Cederschiöld.	-0.000000
Mrs Poli Bortone.	-0.000000
acknowledgements.	-0.000000
over-centralised.	-0.000000
Turkish-Cypriots.	-0.000000
President-in-Office.	-0.000000
assumption.	-0.000000
self-perpetuating.	-0.000000
exaggerations.	-0.000000
single-minded.	-0.000000
labour-market.	-0.000000
alteration.	-0.000000
one-size-fits-all.	-0.000000
state-controlled.	-0.000000
self-regulating.	-0.000000
high-handedness.	-0.000000
micro-financing.	-0.000000
Europeanization.	-0.000000
non-reciprocity.	-0.000000
Standardization.	-0.000000
acquainted.	-0.000000
Mr Lewandowski.	-0.000000
discretionary.	-0.000000
Valdivielso.	-0.000000
championing.	-0.000000
mercy.	-0.000000
circumstantial.	-0.000000
labour-intensive.	-0.000000
Assistance.	-0.000000
inflationary.	-0.000000
misinterpretations.	-0.000000
results-orientated.	-0.000000
Mr Vidal-Quadras.	-0.000000
Riis-Jørgensen's.	-0.000000
distance-selling.	-0.000000
clear-headedness.	-0.000000
conditionalities.	-0.000000
over-compensation.	-0.000000
recommending.	-0.000000
isolationist.	-0.000000
Integration.	-0.000000
non-vaccination.	-0.000000
recasting.	-0.000000
engineered.	-0.000000
representativeness.	-0.000000
Secretary-General.	-0.000000
disqualification.	-0.000000
people-traffickers.	-0.000000
intelligibility.	-0.000000
unrealistically.	-0.000000
four-and-a-half.	-0.000000
